n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.1,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.2,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.30000000000000004,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.4,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.5,0.0,Dirichlet,5,0.0,0.0,0.0
6,0.6000000000000001,0.0,Dirichlet,6,0.0,0.0,0.0
7,0.7000000000000001,0.0,Dirichlet,7,0.0,0.0,0.0
8,0.8,0.0,Dirichlet,8,0.0,0.0,0.0
9,0.9,0.0,Dirichlet,9,0.0,0.0,0.0
10,1.0,0.0,Dirichlet,10,0.0,-0.0,0.0
11,0.0,0.1,Dirichlet,11,0.0,0.0,0.0
12,0.1,0.1,Interno,12,0.0006070055011588857,0.0006916900000000004,8.46844988411147e-05
13,0.2,0.1,Interno,13,0.0005853821134288827,0.0007111111111111115,0.0001257289976822288
14,0.30000000000000004,0.1,Interno,14,0.00041954160541128675,0.0005605833333333335,0.00014104172792204676
15,0.4,0.1,Interno,15,0.00029491928290998584,0.0004369066666666669,0.00014198738375668105
16,0.5,0.1,Interno,16,0.00025723581429449964,0.0003933611111111114,0.00013612529681661178
17,0.6000000000000001,0.1,Interno,17,0.00029491928290998845,0.0004369066666666669,0.00014198738375667845
18,0.7000000000000001,0.1,Interno,18,0.0004195416054112863,0.0005605833333333338,0.00014104172792204752
19,0.8,0.1,Interno,19,0.0005853821134288917,0.0007111111111111117,0.00012572899768222001
20,0.9,0.1,Interno,20,0.0006070055011588968,0.0006916900000000003,8.468449884110353e-05
21,1.0,0.1,Dirichlet,21,0.0,-0.0,0.0
22,0.0,0.2,Dirichlet,22,0.0,0.0,0.0
23,0.1,0.2,Interno,23,0.0005853821134288823,0.0007111111111111115,0.00012572899768222912
24,0.2,0.2,Interno,24,0.00041384554467622186,0.0005931930864197531,0.00017934754174353122
25,0.30000000000000004,0.2,Interno,25,0.00015763539567664652,0.0003510992592592591,0.00019346386358261257
26,0.4,0.2,Interno,26,1.4627119341562254e-05,0.00020029629629629624,0.00018566917695473397
27,0.5,0.2,Interno,27,0.0,0.00015486419753086417,0.00015486419753086417
28,0.6000000000000001,0.2,Interno,28,1.4627119341570969e-05,0.00020029629629629634,0.00018566917695472538
29,0.7000000000000001,0.2,Interno,29,0.00015763539567664552,0.0003510992592592594,0.0001934638635826139
30,0.8,0.2,Interno,30,0.0004138455446762335,0.0005931930864197531,0.00017934754174351957
31,0.9,0.2,Interno,31,0.0005853821134289003,0.0007111111111111114,0.00012572899768221102
32,1.0,0.2,Dirichlet,32,0.0,-0.0,0.0
33,0.0,0.30000000000000004,Dirichlet,33,0.0,0.0,0.0
34,0.1,0.30000000000000004,Interno,34,0.0004195416054112855,0.0005605833333333336,0.0001410417279220481
35,0.2,0.30000000000000004,Interno,35,0.00015763539567664522,0.0003510992592592591,0.00019346386358261387
36,0.30000000000000004,0.30000000000000004,Interno,36,-8.438034104347577e-05,0.00012026777777777757,0.00020464811882125333
37,0.4,0.30000000000000004,Neumann,37,-0.00017479681850433976,2.488888888888884e-05,0.00019968570739322859
38,0.5,0.30000000000000004,Neumann,38,-5.51261023603513e-05,7.842592592592566e-06,6.296869495294386e-05
39,0.6000000000000001,0.30000000000000004,Neumann,39,-0.00017479681850431317,2.4888888888888872e-05,0.00019968570739320205
40,0.7000000000000001,0.30000000000000004,Interno,40,-8.438034104349314e-05,0.0001202677777777778,0.00020464811882127095
41,0.8,0.30000000000000004,Interno,41,0.00015763539567664771,0.00035109925925925925,0.00019346386358261154
42,0.9,0.30000000000000004,Interno,42,0.0004195416054112957,0.0005605833333333334,0.0001410417279220377
43,1.0,0.30000000000000004,Dirichlet,43,0.0,-0.0,0.0
44,0.0,0.4,Dirichlet,44,0.0,0.0,0.0
45,0.1,0.4,Interno,45,0.000294919282909985,0.0004369066666666669,0.00014198738375668192
46,0.2,0.4,Interno,46,1.4627119341561624e-05,0.00020029629629629624,0.00018566917695473463
47,0.30000000000000004,0.4,Neumann,47,-0.00017479681850433791,2.488888888888884e-05,0.00019968570739322674
48,0.4,0.4,Externo,-1,,3.4844444444444533e-06,
49,0.5,0.4,Externo,-1,,1.896296296296297e-05,
50,0.6000000000000001,0.4,Externo,-1,,3.484444444444433e-06,
51,0.7000000000000001,0.4,Neumann,48,-0.00017479681850444663,2.4888888888888947e-05,0.00019968570739333557
52,0.8,0.4,Interno,49,1.4627119341543667e-05,0.0002002962962962964,0.00018566917695475273
53,0.9,0.4,Interno,50,0.00029491928291000276,0.0004369066666666668,0.00014198738375666403
54,1.0,0.4,Dirichlet,51,0.0,-0.0,0.0
55,0.0,0.5,Dirichlet,52,0.0,0.0,0.0
56,0.1,0.5,Interno,53,0.0002572358142944993,0.0003933611111111114,0.0001361252968166121
57,0.2,0.5,Interno,54,0.0,0.00015486419753086417,0.00015486419753086417
