n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.02,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.04,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.06,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.08,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.1,0.0,Dirichlet,5,0.0,0.0,0.0
6,0.12,0.0,Dirichlet,6,0.0,0.0,0.0
7,0.14,0.0,Dirichlet,7,0.0,0.0,0.0
8,0.16,0.0,Dirichlet,8,0.0,0.0,0.0
9,0.18,0.0,Dirichlet,9,0.0,0.0,0.0
10,0.2,0.0,Dirichlet,10,0.0,0.0,0.0
11,0.22,0.0,Dirichlet,11,0.0,0.0,0.0
12,0.24,0.0,Dirichlet,12,0.0,0.0,0.0
13,0.26,0.0,Dirichlet,13,0.0,0.0,0.0
14,0.28,0.0,Dirichlet,14,0.0,0.0,0.0
15,0.3,0.0,Dirichlet,15,0.0,0.0,0.0
16,0.32,0.0,Dirichlet,16,0.0,0.0,0.0
17,0.34,0.0,Dirichlet,17,0.0,0.0,0.0
18,0.36,0.0,Dirichlet,18,0.0,0.0,0.0
19,0.38,0.0,Dirichlet,19,0.0,0.0,0.0
20,0.4,0.0,Dirichlet,20,0.0,0.0,0.0
21,0.42,0.0,Dirichlet,21,0.0,0.0,0.0
22,0.44,0.0,Dirichlet,22,0.0,0.0,0.0
23,0.46,0.0,Dirichlet,23,0.0,0.0,0.0
24,0.48,0.0,Dirichlet,24,0.0,0.0,0.0
25,0.5,0.0,Dirichlet,25,0.0,0.0,0.0
26,0.52,0.0,Dirichlet,26,0.0,0.0,0.0
27,0.54,0.0,Dirichlet,27,0.0,0.0,0.0
28,0.56,0.0,Dirichlet,28,0.0,0.0,0.0
29,0.58,0.0,Dirichlet,29,0.0,0.0,0.0
30,0.6,0.0,Dirichlet,30,0.0,0.0,0.0
31,0.62,0.0,Dirichlet,31,0.0,0.0,0.0
32,0.64,0.0,Dirichlet,32,0.0,0.0,0.0
33,0.66,0.0,Dirichlet,33,0.0,0.0,0.0
34,0.68,0.0,Dirichlet,34,0.0,0.0,0.0
35,0.7000000000000001,0.0,Dirichlet,35,0.0,0.0,0.0
36,0.72,0.0,Dirichlet,36,0.0,0.0,0.0
37,0.74,0.0,Dirichlet,37,0.0,0.0,0.0
38,0.76,0.0,Dirichlet,38,0.0,0.0,0.0
39,0.78,0.0,Dirichlet,39,0.0,0.0,0.0
40,0.8,0.0,Dirichlet,40,0.0,0.0,0.0
41,0.8200000000000001,0.0,Dirichlet,41,0.0,0.0,0.0
