n,x,y
0,0.0,0.0
1,0.16666666666666666,0.0
2,0.3333333333333333,0.0
3,0.5,0.0
4,0.6666666666666666,0.0
5,0.8333333333333333,0.0
6,1.0,0.0
7,0.0,0.16666666666666666
8,0.16666666666666666,0.16666666666666666
9,0.3333333333333333,0.16666666666666666
10,0.5,0.16666666666666666
11,0.6666666666666666,0.16666666666666666
12,0.8333333333333333,0.16666666666666666
13,1.0,0.16666666666666666
14,0.0,0.3333333333333333
15,0.16666666666666666,0.3333333333333333
16,0.3333333333333333,0.3333333333333333
17,0.5,0.3333333333333333
18,0.6666666666666666,0.3333333333333333
19,0.8333333333333333,0.3333333333333333
20,1.0,0.3333333333333333
21,0.0,0.5
22,0.16666666666666666,0.5
23,0.3333333333333333,0.5
24,0.5,0.5
25,0.6666666666666666,0.5
26,0.8333333333333333,0.5
27,1.0,0.5
28,0.0,0.6666666666666666
29,0.16666666666666666,0.6666666666666666
30,0.3333333333333333,0.6666666666666666
31,0.5,0.6666666666666666
32,0.6666666666666666,0.6666666666666666
33,0.8333333333333333,0.6666666666666666
34,1.0,0.6666666666666666
35,0.0,0.8333333333333333
36,0.16666666666666666,0.8333333333333333
37,0.3333333333333333,0.8333333333333333
38,0.5,0.8333333333333333
39,0.6666666666666666,0.8333333333333333
40,0.8333333333333333,0.8333333333333333
41,1.0,0.8333333333333333
42,0.0,1.0
43,0.16666666666666666,1.0
44,0.3333333333333333,1.0
45,0.5,1.0
46,0.6666666666666666,1.0
47,0.8333333333333333,1.0
48,1.0,1.0
