n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.025,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.05,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.07500000000000001,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.1,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.125,0.0,Dirichlet,5,0.0,0.0,0.0
6,0.15000000000000002,0.0,Dirichlet,6,0.0,0.0,0.0
7,0.17500000000000002,0.0,Dirichlet,7,0.0,0.0,0.0
8,0.2,0.0,Dirichlet,8,0.0,0.0,0.0
9,0.225,0.0,Dirichlet,9,0.0,0.0,0.0
10,0.25,0.0,Dirichlet,10,0.0,0.0,0.0
11,0.275,0.0,Dirichlet,11,0.0,0.0,0.0
12,0.30000000000000004,0.0,Dirichlet,12,0.0,0.0,0.0
13,0.325,0.0,Dirichlet,13,0.0,0.0,0.0
14,0.35000000000000003,0.0,Dirichlet,14,0.0,0.0,0.0
15,0.375,0.0,Dirichlet,15,0.0,0.0,0.0
16,0.4,0.0,Dirichlet,16,0.0,0.0,0.0
17,0.42500000000000004,0.0,Dirichlet,17,0.0,0.0,0.0
18,0.45,0.0,Dirichlet,18,0.0,0.0,0.0
19,0.47500000000000003,0.0,Dirichlet,19,0.0,0.0,0.0
20,0.5,0.0,Dirichlet,20,0.0,0.0,0.0
21,0.525,0.0,Dirichlet,21,0.0,0.0,0.0
22,0.55,0.0,Dirichlet,22,0.0,0.0,0.0
23,0.5750000000000001,0.0,Dirichlet,23,0.0,0.0,0.0
24,0.6000000000000001,0.0,Dirichlet,24,0.0,0.0,0.0
25,0.625,0.0,Dirichlet,25,0.0,0.0,0.0
26,0.65,0.0,Dirichlet,26,0.0,0.0,0.0
27,0.675,0.0,Dirichlet,27,0.0,0.0,0.0
28,0.7000000000000001,0.0,Dirichlet,28,0.0,0.0,0.0
29,0.7250000000000001,0.0,Dirichlet,29,0.0,0.0,0.0
30,0.75,0.0,Dirichlet,30,0.0,0.0,0.0
31,0.775,0.0,Dirichlet,31,0.0,0.0,0.0
32,0.8,0.0,Dirichlet,32,0.0,0.0,0.0
33,0.8250000000000001,0.0,Dirichlet,33,0.0,0.0,0.0
34,0.8500000000000001,0.0,Dirichlet,34,0.0,0.0,0.0
35,0.875,0.0,Dirichlet,35,0.0,0.0,0.0
36,0.9,0.0,Dirichlet,36,0.0,0.0,0.0
37,0.925,0.0,Dirichlet,37,0.0,0.0,0.0
38,0.9500000000000001,0.0,Dirichlet,38,0.0,0.0,0.0
39,0.9750000000000001,0.0,Dirichlet,39,0.0,0.0,0.0
40,1.0,0.0,Dirichlet,40,0.0,-0.0,0.0
41,0.0,0.025,Dirichlet,41,0.0,0.0,0.0
42,0.025,0.025,Interno,42,0.00010605365810415656,0.00010654647956000434,4.928214558477828e-07
43,0.05,0.025,Interno,43,0.00018465334616527205,0.00018557175417299623,9.184080077241847e-07
44,0.07500000000000001,0.025,Interno,44,0.0002409398240912678,0.00024222314622667103,1.2833221354032398e-06
45,0.1,0.025,Interno,45,0.0002793261034174314,0.0002809198543294272,1.5937509119958154e-06
46,0.125,0.025,Interno,46,0.00030357240670536546,0.00030542793499981915,1.8555282944536901e-06
47,0.15000000000000002,0.025,Interno,47,0.00031685684458377934,0.0003189309996880425,2.0741551042631674e-06
