n,x,y,tipo,idx_unknown,u_num,u_a,EA
69,0.30000000000000004,0.15000000000000002,Interno,69,0.00044321126187271773,0.00048596831597222194,4.275705409950421e-05
70,0.35000000000000003,0.15000000000000002,Interno,70,0.00035408301495224316,0.00039857631365740727,4.4493298705164115e-05
71,0.4,0.15000000000000002,Interno,71,0.00028864302776184967,0.00033558236111111086,4.693933334926119e-05
72,0.45,0.15000000000000002,Interno,72,0.00024891166428838986,0.0002982747395833333,4.9363075294943425e-05
73,0.5,0.15000000000000002,Interno,73,0.0002362806792121484,0.0002859920428240739,4.9711363611925534e-05
74,0.55,0.15000000000000002,Interno,74,0.00024891166428839094,0.00029827473958333317,4.936307529494223e-05
75,0.6000000000000001,0.15000000000000002,Interno,75,0.00028864302776185276,0.000335582361111111,4.6939333349258264e-05
76,0.65,0.15000000000000002,Interno,76,0.00035408301495224825,0.00039857631365740743,4.449329870515918e-05
77,0.7000000000000001,0.15000000000000002,Interno,77,0.0004432112618727252,0.0004859683159722223,4.275705409949711e-05
78,0.75,0.15000000000000002,Interno,78,0.0005498092709962988,0.0005909344618055554,4.112519080925656e-05
79,0.8,0.15000000000000002,Interno,79,0.0006575083509468293,0.0006960949074074073,3.858655646057799e-05
80,0.8500000000000001,0.15000000000000002,Interno,80,0.0007329141065141971,0.0007670591840277779,3.4145077513580806e-05
81,0.9,0.15000000000000002,Interno,81,0.0007176695264334162,0.0007445371354166669,2.6867608983250735e-05
82,0.9500000000000001,0.15000000000000002,Interno,82,0.0005191958506357752,0.0005350154803240737,1.5819629688298498e-05
83,1.0,0.15000000000000002,Dirichlet,83,0.0,-0.0,0.0
84,0.0,0.2,Dirichlet,84,0.0,0.0,0.0
85,0.05,0.2,Interno,85,0.0005142364116542067,0.0005325916975308642,1.835528587665759e-05
86,0.1,0.2,Interno,86,0.0006802952366654672,0.0007111111111111115,3.081587444564427e-05
87,0.15000000000000002,0.2,Interno,87,0.0006575083509468149,0.0006960949074074072,3.85865564605923e-05
88,0.2,0.2,Interno,88,0.0005504209286931122,0.0005931930864197531,4.277215772664083e-05
89,0.25,0.2,Interno,89,0.00042216511137768085,0.0004666689814814816,4.450387010380074e-05
90,0.30000000000000004,0.2,Interno,90,0.00030592339727688494,0.0003510992592592591,4.517586198237415e-05
91,0.35000000000000003,0.2,Interno,91,0.00021459296849471194,0.0002612739197530862,4.668095125837427e-05
92,0.4,0.2,Interno,92,0.00014938910419075898,0.00020029629629629624,5.0907192105537253e-05
93,0.45,0.2,Interno,93,0.00010923009085791049,0.00016588305555555551,5.665296469764502e-05
94,0.5,0.2,Interno,94,9.922496831841232e-05,0.00015486419753086417,5.563922921245185e-05
95,0.55,0.2,Interno,95,0.00010923009085791078,0.00016588305555555557,5.665296469764479e-05
96,0.6000000000000001,0.2,Interno,96,0.00014938910419076223,0.00020029629629629634,5.090719210553411e-05
97,0.65,0.2,Interno,97,0.00021459296849471804,0.00026127391975308637,4.6680951258368334e-05
98,0.7000000000000001,0.2,Interno,98,0.000305923397276894,0.0003510992592592594,4.517586198236542e-05
99,0.75,0.2,Interno,99,0.00042216511137769435,0.0004666689814814816,4.450387010378724e-05
100,0.8,0.2,Interno,100,0.0005504209286931302,0.0005931930864197531,4.2772157726622836e-05
101,0.8500000000000001,0.2,Interno,101,0.0006575083509468337,0.0006960949074074075,3.858655646057387e-05
102,0.9,0.2,Interno,102,0.0006802952366654864,0.0007111111111111114,3.081587444562497e-05
103,0.9500000000000001,0.2,Interno,103,0.0005142364116542187,0.0005325916975308639,1.835528587664523e-05
104,1.0,0.2,Dirichlet,104,0.0,-0.0,0.0
105,0.0,0.25,Dirichlet,105,0.0,0.0,0.0
106,0.05,0.25,Interno,106,0.0004810990625949153,0.0005011937210648149,2.0094658469899606e-05
107,0.1,0.25,Interno,107,0.0006064827070101607,0.0006398450520833336,3.336234507317294e-05
108,0.15000000000000002,0.25,Interno,108,0.0005498092709962879,0.0005909344618055554,4.112519080926751e-05
109,0.2,0.25,Interno,109,0.0004221651113776807,0.0004666689814814816,4.45038701038009e-05
110,0.25,0.25,Interno,110,0.000287735881144746,0.00033230251736111107,4.456663621636508e-05
111,0.30000000000000004,0.25,Interno,111,0.00017699733378218147,0.00021984678819444436,4.2849454412262887e-05
112,0.35000000000000003,0.25,Interno,112,9.705954139383672e-05,0.0001396728877314814,4.261334633764467e-05
113,0.4,0.25,Interno,113,3.9902675327574656e-05,9.000347222222221e-05,5.010079689464755e-05
114,0.45,0.25,Interno,114,-3.3234472470949755e-06,6.429557291666666e-05,6.761902016376163e-05
115,0.5,0.25,Interno,115,0.0,5.651403356481481e-05,5.651403356481481e-05
116,0.55,0.25,Interno,116,-3.3234472470942208e-06,6.42955729166667e-05,6.761902016376092e-05
117,0.6000000000000001,0.25,Interno,117,3.990267532757656e-05,9.000347222222229e-05,5.010079689464573e-05
118,0.65,0.25,Interno,118,9.7059541393843e-05,0.0001396728877314816,4.261334633763859e-05
119,0.7000000000000001,0.25,Interno,119,0.0001769973337821924,0.0002198467881944446,4.284945441225221e-05
120,0.75,0.25,Interno,120,0.0002877358811447603,0.00033230251736111107,4.456663621635077e-05
121,0.8,0.25,Interno,121,0.0004221651113777011,0.00046666898148148164,4.450387010378052e-05
122,0.8500000000000001,0.25,Interno,122,0.0005498092709963103,0.0005909344618055558,4.11251908092455e-05
123,0.9,0.25,Interno,123,0.0006064827070101825,0.0006398450520833335,3.336234507315104e-05
124,0.9500000000000001,0.25,Interno,124,0.0004810990625949306,0.0005011937210648144,2.009465846988383e-05
125,1.0,0.25,Dirichlet,125,0.0,-0.0,0.0
126,0.0,0.30000000000000004,Dirichlet,126,0.0,0.0,0.0
127,0.05,0.30000000000000004,Interno,127,0.00043856167646838014,0.0004599036863425927,2.1342009874212545e-05
128,0.1,0.30000000000000004,Interno,128,0.0005254511090571203,0.0005605833333333336,3.513222427621327e-05
129,0.15000000000000002,0.30000000000000004,Interno,129,0.0004432112618727173,0.00048596831597222194,4.2757054099504645e-05
130,0.2,0.30000000000000004,Interno,130,0.00030592339727688434,0.0003510992592592591,4.517586198237475e-05
131,0.25,0.30000000000000004,Interno,131,0.00017699733378218117,0.00021984678819444436,4.2849454412263185e-05
132,0.30000000000000004,0.30000000000000004,Interno,132,8.409015362344254e-05,0.00012026777777777757,3.617762415433503e-05
