n,x,y,tipo,idx_unknown,u_num,u_a,EA
0,0.0,0.0,Dirichlet,0,0.0,0.0,0.0
1,0.125,0.0,Dirichlet,1,0.0,0.0,0.0
2,0.25,0.0,Dirichlet,2,0.0,0.0,0.0
3,0.375,0.0,Dirichlet,3,0.0,0.0,0.0
4,0.5,0.0,Dirichlet,4,0.0,0.0,0.0
5,0.625,0.0,Dirichlet,5,0.0,0.0,0.0
6,0.75,0.0,Dirichlet,6,0.0,0.0,0.0
7,0.875,0.0,Dirichlet,7,0.0,0.0,0.0
8,1.0,0.0,Dirichlet,8,0.0,-0.0,0.0
9,0.0,0.125,Dirichlet,9,0.0,0.0,0.0
10,0.125,0.125,Interno,10,0.0006132912555527616,0.0007685937999207297,0.00015530254436796809
11,0.25,0.125,Interno,11,0.0004321305973896423,0.0006305464991816767,0.00019841590179203446
12,0.375,0.125,Interno,12,0.00020263773022275995,0.0004231046747278284,0.00022046694450506845
13,0.5,0.125,Interno,13,0.0,0.00034820886305820793,0.00034820886305820793
14,0.625,0.125,Interno,14,0.0002026377302227763,0.0004231046747278284,0.0002204669445050521
15,0.75,0.125,Interno,15,0.00043213059738965334,0.0006305464991816767,0.0001984159017920234
16,0.875,0.125,Interno,16,0.0006132912555527805,0.0007685937999207297,0.00015530254436794922
17,1.0,0.125,Dirichlet,17,0.0,-0.0,0.0
18,0.0,0.25,Dirichlet,18,0.0,0.0,0.0
19,0.125,0.25,Interno,19,0.0004321305973896422,0.0006305464991816767,0.00019841590179203456
20,0.25,0.25,Interno,20,0.00014203191472491477,0.00033230251736111107,0.0001902706026361963
21,0.375,0.25,Interno,21,-5.692061405548898e-19,0.0001113944583468967,0.00011139445834689727
22,0.5,0.25,Neumann,22,-0.0006737509694297658,5.651403356481481e-05,0.0007302650029945806
23,0.625,0.25,Interno,23,2.8348498678706924e-17,0.0001113944583468967,0.00011139445834686835
24,0.75,0.25,Interno,24,0.00014203191472492358,0.00033230251736111107,0.00019027060263618749
25,0.875,0.25,Interno,25,0.0004321305973896669,0.0006305464991816767,0.00019841590179200984
26,1.0,0.25,Dirichlet,26,0.0,-0.0,0.0
27,0.0,0.375,Dirichlet,27,0.0,0.0,0.0
28,0.125,0.375,Interno,28,0.00020263773022276055,0.0004231046747278284,0.00022046694450506785
29,0.25,0.375,Interno,29,5.692061405548898e-19,0.0001113944583468967,0.00011139445834689613
30,0.375,0.375,Neumann,30,0.0007801295397123937,6.622738308376736e-07,0.000779467265881556
31,0.5,0.375,Externo,-1,,8.653711389612269e-06,
32,0.625,0.375,Neumann,31,0.0007801295397124426,6.622738308376736e-07,0.0007794672658816049
33,0.75,0.375,Interno,32,-2.8348498678706924e-17,0.0001113944583468967,0.00011139445834692505
34,0.875,0.375,Interno,33,0.0002026377302227744,0.0004231046747278284,0.000220466944505054
35,1.0,0.375,Dirichlet,34,0.0,-0.0,0.0
36,0.0,0.5,Dirichlet,35,0.0,0.0,0.0
37,0.125,0.5,Interno,36,0.0,0.00034820886305820793,0.00034820886305820793
38,0.25,0.5,Neumann,37,-0.0006737509694297652,5.651403356481481e-05,0.00073026500299458
39,0.375,0.5,Externo,-1,,8.653711389612269e-06,
40,0.5,0.5,Externo,-1,,4.8225308641975306e-05,
41,0.625,0.5,Externo,-1,,8.653711389612269e-06,
42,0.75,0.5,Neumann,38,-0.0006737509694299526,5.651403356481481e-05,0.0007302650029947674
43,0.875,0.5,Interno,39,0.0,0.00034820886305820793,0.00034820886305820793
44,1.0,0.5,Dirichlet,40,0.0,-0.0,0.0
45,0.0,0.625,Dirichlet,41,0.0,0.0,0.0
46,0.125,0.625,Interno,42,0.0002026377302227742,0.0004231046747278284,0.0002204669445050542
47,0.25,0.625,Interno,43,2.62952908145625e-17,0.0001113944583468967,0.00011139445834687041
48,0.375,0.625,Neumann,44,0.0007801295397124456,6.622738308376736e-07,0.0007794672658816079
49,0.5,0.625,Externo,-1,,8.653711389612269e-06,
50,0.625,0.625,Neumann,45,0.0007801295397123951,6.622738308376736e-07,0.0007794672658815574
51,0.75,0.625,Interno,46,-1.802486111757151e-17,0.0001113944583468967,0.00011139445834691473
52,0.875,0.625,Interno,47,0.00020263773022282985,0.0004231046747278284,0.00022046694450499854
53,1.0,0.625,Dirichlet,48,0.0,-0.0,0.0
54,0.0,0.75,Dirichlet,49,0.0,0.0,0.0
55,0.125,0.75,Interno,50,0.0004321305973896496,0.0006305464991816767,0.00019841590179202714
56,0.25,0.75,Interno,51,0.00014203191472492103,0.00033230251736111107,0.00019027060263619003
57,0.375,0.75,Interno,52,-2.62952908145625e-17,0.0001113944583468967,0.000111394458346923
58,0.5,0.75,Neumann,53,-0.0006737509694299186,5.651403356481481e-05,0.0007302650029947334
59,0.625,0.75,Interno,54,1.802486111757151e-17,0.0001113944583468967,0.00011139445834687868
60,0.75,0.75,Interno,55,0.00014203191472495353,0.00033230251736111107,0.00019027060263615754
61,0.875,0.75,Interno,56,0.00043213059738976393,0.0006305464991816767,0.0001984159017919128
62,1.0,0.75,Dirichlet,57,0.0,-0.0,0.0
63,0.0,0.875,Dirichlet,58,0.0,0.0,0.0
64,0.125,0.875,Interno,59,0.000613291255552773,0.0007685937999207297,0.0001553025443679567
65,0.25,0.875,Interno,60,0.000432130597389657,0.0006305464991816767,0.00019841590179201976
66,0.375,0.875,Interno,61,0.0002026377302227551,0.0004231046747278284,0.0002204669445050733
67,0.5,0.875,Interno,62,0.0,0.00034820886305820793,0.00034820886305820793
68,0.625,0.875,Interno,63,0.00020263773022282554,0.0004231046747278284,0.00022046694450500285
69,0.75,0.875,Interno,64,0.0004321305973897004,0.0006305464991816767,0.00019841590179197634
70,0.875,0.875,Interno,65,0.000613291255552913,0.0007685937999207297,0.00015530254436781673
71,1.0,0.875,Dirichlet,66,0.0,-0.0,0.0
72,0.0,1.0,Dirichlet,67,0.0,-0.0,0.0
73,0.125,1.0,Dirichlet,68,0.0,-0.0,0.0
74,0.25,1.0,Dirichlet,69,0.0,-0.0,0.0
75,0.375,1.0,Dirichlet,70,0.0,-0.0,0.0
76,0.5,1.0,Dirichlet,71,0.0,-0.0,0.0
77,0.625,1.0,Dirichlet,72,0.0,-0.0,0.0
78,0.75,1.0,Dirichlet,73,0.0,-0.0,0.0
79,0.875,1.0,Dirichlet,74,0.0,-0.0,0.0
80,1.0,1.0,Dirichlet,75,0.0,0.0,0.0
