Cantidad de nodos,N (por eje),Separación h,EA máximo,EA promedio
81,9,0.125,0.0007794672658816079,0.0001717930993803398
121,11,0.1,0.00020464811882129995,9.992114511747607e-05
441,21,0.05,0.00010555943133134341,3.0472605550415796e-05
961,31,0.03333333333333333,1.8441772275833373e-05,1.025935401611919e-05
1681,41,0.025,1.8659684468386787e-05,6.7265132127644845e-06
2601,51,0.02,1.8166886846450543e-05,4.718449554448254e-06
